model,hyperparam,tau,F2_w,AUC_PR_w
if,0.1,0.875,0.6061888881057985,0.6522502085986904
if,0.1,0.8775,0.6076571292149157,0.6522502085986904
if,0.1,0.88,0.6050961263168865,0.6522502085986904
if,0.1,0.8825,0.6062067765416339,0.6522502085986904
if,0.1,0.885,0.6062067765416339,0.6522502085986904
if,0.1,0.8875,0.6018896222700811,0.6522502085986904
if,0.1,0.89,0.6065976279459113,0.6522502085986904
if,0.1,0.8925,0.6065976279459113,0.6522502085986904
if,0.1,0.895,0.6077628824577967,0.6522502085986904
if,0.1,0.8975,0.60382769990631,0.6522502085986904
if,0.1,0.9,0.6116770420869595,0.6522502085986904
if,0.1,0.9025,0.6059520757303736,0.6522502085986904
if,0.1,0.905,0.6059520757303736,0.6522502085986904
if,0.1,0.9075,0.6059520757303736,0.6522502085986904
if,0.1,0.91,0.5724082119430959,0.6522502085986904
if,0.1,0.9125,0.5724082119430959,0.6522502085986904
if,0.1,0.915,0.5624631234638373,0.6522502085986904
if,0.1,0.9175,0.5635331115702041,0.6522502085986904
if,0.1,0.92,0.5637919308367104,0.6522502085986904
if,0.1,0.9225,0.5579553182720782,0.6522502085986904
if,0.1,0.925,0.5579553182720782,0.6522502085986904
if,0.1,0.9275,0.5590401930353459,0.6522502085986904
if,0.1,0.93,0.5415809878969293,0.6522502085986904
if,0.1,0.9325,0.5415809878969293,0.6522502085986904
if,0.1,0.935,0.5157089906355077,0.6522502085986904
if,0.1,0.9375,0.5081620357606021,0.6522502085986904
if,0.1,0.94,0.5084643789200882,0.6522502085986904
if,0.1,0.9425,0.4932121414456284,0.6522502085986904
if,0.1,0.945,0.4867987054681227,0.6522502085986904
if,0.1,0.9475,0.47245633651582464,0.6522502085986904
if,0.1,0.95,0.4735347183036712,0.6522502085986904
if,0.1,0.9525,0.4745206199106909,0.6522502085986904
if,0.1,0.955,0.45924598433559005,0.6522502085986904
if,0.1,0.9575,0.450270459797736,0.6522502085986904
if,0.1,0.96,0.4187140698184069,0.6522502085986904
if,0.1,0.9625,0.4119145600627082,0.6522502085986904
if,0.1,0.965,0.40526896144257146,0.6522502085986904
if,0.1,0.9675,0.39687855655086823,0.6522502085986904
if,0.1,0.97,0.357041763166565,0.6522502085986904
if,0.1,0.9725,0.32759371835644013,0.6522502085986904
if,0.1,0.975,0.32759371835644013,0.6522502085986904
if,0.1,0.9775,0.32969085706368284,0.6522502085986904
if,0.1,0.98,0.32969085706368284,0.6522502085986904
if,0.1,0.9825,0.3098401051340779,0.6522502085986904
if,0.1,0.985,0.25961553932757303,0.6522502085986904
if,0.1,0.9875,0.25961553932757303,0.6522502085986904
if,0.1,0.99,0.23413470562101005,0.6522502085986904
if,0.1,0.9925,0.22074093405730388,0.6522502085986904
if,0.1,0.995,0.21179770988200106,0.6522502085986904
if,0.1,0.9975,0.19522342698308365,0.6522502085986904
if,0.1,1.0,0.19522342698308365,0.6522502085986904
if,0.15,0.8,0.6683406459150073,0.6522502085986904
if,0.15,0.8025,0.6683406459150073,0.6522502085986904
if,0.15,0.805,0.6638095469501518,0.6522502085986904
if,0.15,0.8075,0.6640570545486352,0.6522502085986904
if,0.15,0.81,0.6640570545486352,0.6522502085986904
if,0.15,0.8125,0.6640570545486352,0.6522502085986904
if,0.15,0.815,0.6633190847116669,0.6522502085986904
if,0.15,0.8175,0.6642391008119487,0.6522502085986904
if,0.15,0.82,0.6552856915123773,0.6522502085986904
if,0.15,0.8225,0.6554981816847069,0.6522502085986904
if,0.15,0.825,0.6566309375991762,0.6522502085986904
if,0.15,0.8275,0.6582618488951927,0.6522502085986904
if,0.15,0.83,0.6582618488951927,0.6522502085986904
if,0.15,0.8325,0.6526315099121498,0.6522502085986904
if,0.15,0.835,0.6475308481915373,0.6522502085986904
if,0.15,0.8375,0.6493044613575555,0.6522502085986904
if,0.15,0.84,0.6450076313624866,0.6522502085986904
if,0.15,0.8425,0.6452480535438372,0.6522502085986904
if,0.15,0.845,0.6426633659639759,0.6522502085986904
if,0.15,0.8475,0.6438159728506975,0.6522502085986904
if,0.15,0.85,0.6438159728506975,0.6522502085986904
if,0.15,0.8525,0.6415700538126168,0.6522502085986904
if,0.15,0.855,0.6353626650191332,0.6522502085986904
if,0.15,0.8575,0.6353626650191332,0.6522502085986904
if,0.15,0.86,0.627120812902075,0.6522502085986904
if,0.15,0.8625,0.6086423914504498,0.6522502085986904
if,0.15,0.865,0.6095247785397334,0.6522502085986904
if,0.15,0.8675,0.6102925446474664,0.6522502085986904
if,0.15,0.87,0.6102925446474664,0.6522502085986904
if,0.15,0.8725,0.6110093905256025,0.6522502085986904
if,0.15,0.875,0.6061888881057985,0.6522502085986904
if,0.15,0.8775,0.6076571292149157,0.6522502085986904
if,0.15,0.88,0.6050961263168865,0.6522502085986904
if,0.15,0.8825,0.6062067765416339,0.6522502085986904
if,0.15,0.885,0.6062067765416339,0.6522502085986904
if,0.15,0.8875,0.6018896222700811,0.6522502085986904
if,0.15,0.89,0.6065976279459113,0.6522502085986904
if,0.15,0.8925,0.6065976279459113,0.6522502085986904
if,0.15,0.895,0.6077628824577967,0.6522502085986904
if,0.15,0.8975,0.60382769990631,0.6522502085986904
if,0.15,0.9,0.6116770420869595,0.6522502085986904
if,0.15,0.9025,0.6059520757303736,0.6522502085986904
if,0.15,0.905,0.6059520757303736,0.6522502085986904
if,0.15,0.9075,0.6059520757303736,0.6522502085986904
if,0.15,0.91,0.5724082119430959,0.6522502085986904
if,0.15,0.9125,0.5724082119430959,0.6522502085986904
if,0.15,0.915,0.5624631234638373,0.6522502085986904
if,0.15,0.9175,0.5635331115702041,0.6522502085986904
if,0.15,0.92,0.5637919308367104,0.6522502085986904
if,0.15,0.9225,0.5579553182720782,0.6522502085986904
if,0.15,0.925,0.5579553182720782,0.6522502085986904
if,0.15,0.9275,0.5590401930353459,0.6522502085986904
if,0.15,0.93,0.5415809878969293,0.6522502085986904
if,0.15,0.9325,0.5415809878969293,0.6522502085986904
if,0.15,0.935,0.5157089906355077,0.6522502085986904
if,0.15,0.9375,0.5081620357606021,0.6522502085986904
if,0.15,0.94,0.5084643789200882,0.6522502085986904
if,0.15,0.9425,0.4932121414456284,0.6522502085986904
if,0.15,0.945,0.4867987054681227,0.6522502085986904
if,0.15,0.9475,0.47245633651582464,0.6522502085986904
if,0.15,0.95,0.4735347183036712,0.6522502085986904
if,0.15,0.9525,0.4745206199106909,0.6522502085986904
if,0.15,0.955,0.45924598433559005,0.6522502085986904
if,0.15,0.9575,0.450270459797736,0.6522502085986904
if,0.15,0.96,0.4187140698184069,0.6522502085986904
if,0.15,0.9625,0.4119145600627082,0.6522502085986904
if,0.15,0.965,0.40526896144257146,0.6522502085986904
if,0.15,0.9675,0.39687855655086823,0.6522502085986904
if,0.15,0.97,0.357041763166565,0.6522502085986904
if,0.15,0.9725,0.32759371835644013,0.6522502085986904
if,0.15,0.975,0.32759371835644013,0.6522502085986904
if,0.15,0.9775,0.32969085706368284,0.6522502085986904
if,0.15,0.98,0.32969085706368284,0.6522502085986904
if,0.15,0.9825,0.3098401051340779,0.6522502085986904
if,0.15,0.985,0.25961553932757303,0.6522502085986904
if,0.15,0.9875,0.25961553932757303,0.6522502085986904
if,0.15,0.99,0.23413470562101005,0.6522502085986904
if,0.15,0.9925,0.22074093405730388,0.6522502085986904
if,0.15,0.995,0.21179770988200106,0.6522502085986904
if,0.15,0.9975,0.19522342698308365,0.6522502085986904
if,0.15,1.0,0.19522342698308365,0.6522502085986904
if,0.22,0.8,0.6683406459150073,0.6522502085986904
if,0.22,0.8025,0.6683406459150073,0.6522502085986904
if,0.22,0.805,0.6638095469501518,0.6522502085986904
if,0.22,0.8075,0.6640570545486352,0.6522502085986904
if,0.22,0.81,0.6640570545486352,0.6522502085986904
if,0.22,0.8125,0.6640570545486352,0.6522502085986904
if,0.22,0.815,0.6633190847116669,0.6522502085986904
if,0.22,0.8175,0.6642391008119487,0.6522502085986904
if,0.22,0.82,0.6552856915123773,0.6522502085986904
if,0.22,0.8225,0.6554981816847069,0.6522502085986904
if,0.22,0.825,0.6566309375991762,0.6522502085986904
if,0.22,0.8275,0.6582618488951927,0.6522502085986904
if,0.22,0.83,0.6582618488951927,0.6522502085986904
if,0.22,0.8325,0.6526315099121498,0.6522502085986904
if,0.22,0.835,0.6475308481915373,0.6522502085986904
if,0.22,0.8375,0.6493044613575555,0.6522502085986904
if,0.22,0.84,0.6450076313624866,0.6522502085986904
if,0.22,0.8425,0.6452480535438372,0.6522502085986904
if,0.22,0.845,0.6426633659639759,0.6522502085986904
if,0.22,0.8475,0.6438159728506975,0.6522502085986904
if,0.22,0.85,0.6438159728506975,0.6522502085986904
if,0.22,0.8525,0.6415700538126168,0.6522502085986904
if,0.22,0.855,0.6353626650191332,0.6522502085986904
if,0.22,0.8575,0.6353626650191332,0.6522502085986904
if,0.22,0.86,0.627120812902075,0.6522502085986904
if,0.22,0.8625,0.6086423914504498,0.6522502085986904
if,0.22,0.865,0.6095247785397334,0.6522502085986904
if,0.22,0.8675,0.6102925446474664,0.6522502085986904
if,0.22,0.87,0.6102925446474664,0.6522502085986904
if,0.22,0.8725,0.6110093905256025,0.6522502085986904
if,0.22,0.875,0.6061888881057985,0.6522502085986904
if,0.22,0.8775,0.6076571292149157,0.6522502085986904
if,0.22,0.88,0.6050961263168865,0.6522502085986904
if,0.22,0.8825,0.6062067765416339,0.6522502085986904
if,0.22,0.885,0.6062067765416339,0.6522502085986904
if,0.22,0.8875,0.6018896222700811,0.6522502085986904
if,0.22,0.89,0.6065976279459113,0.6522502085986904
if,0.22,0.8925,0.6065976279459113,0.6522502085986904
if,0.22,0.895,0.6077628824577967,0.6522502085986904
if,0.22,0.8975,0.60382769990631,0.6522502085986904
if,0.22,0.9,0.6116770420869595,0.6522502085986904
if,0.22,0.9025,0.6059520757303736,0.6522502085986904
if,0.22,0.905,0.6059520757303736,0.6522502085986904
if,0.22,0.9075,0.6059520757303736,0.6522502085986904
if,0.22,0.91,0.5724082119430959,0.6522502085986904
if,0.22,0.9125,0.5724082119430959,0.6522502085986904
if,0.22,0.915,0.5624631234638373,0.6522502085986904
if,0.22,0.9175,0.5635331115702041,0.6522502085986904
if,0.22,0.92,0.5637919308367104,0.6522502085986904
if,0.22,0.9225,0.5579553182720782,0.6522502085986904
if,0.22,0.925,0.5579553182720782,0.6522502085986904
if,0.22,0.9275,0.5590401930353459,0.6522502085986904
if,0.22,0.93,0.5415809878969293,0.6522502085986904
if,0.22,0.9325,0.5415809878969293,0.6522502085986904
if,0.22,0.935,0.5157089906355077,0.6522502085986904
if,0.22,0.9375,0.5081620357606021,0.6522502085986904
if,0.22,0.94,0.5084643789200882,0.6522502085986904
if,0.22,0.9425,0.4932121414456284,0.6522502085986904
if,0.22,0.945,0.4867987054681227,0.6522502085986904
if,0.22,0.9475,0.47245633651582464,0.6522502085986904
if,0.22,0.95,0.4735347183036712,0.6522502085986904
if,0.22,0.9525,0.4745206199106909,0.6522502085986904
if,0.22,0.955,0.45924598433559005,0.6522502085986904
if,0.22,0.9575,0.450270459797736,0.6522502085986904
if,0.22,0.96,0.4187140698184069,0.6522502085986904
if,0.22,0.9625,0.4119145600627082,0.6522502085986904
if,0.22,0.965,0.40526896144257146,0.6522502085986904
if,0.22,0.9675,0.39687855655086823,0.6522502085986904
if,0.22,0.97,0.357041763166565,0.6522502085986904
if,0.22,0.9725,0.32759371835644013,0.6522502085986904
if,0.22,0.975,0.32759371835644013,0.6522502085986904
if,0.22,0.9775,0.32969085706368284,0.6522502085986904
if,0.22,0.98,0.32969085706368284,0.6522502085986904
if,0.22,0.9825,0.3098401051340779,0.6522502085986904
if,0.22,0.985,0.25961553932757303,0.6522502085986904
if,0.22,0.9875,0.25961553932757303,0.6522502085986904
if,0.22,0.99,0.23413470562101005,0.6522502085986904
if,0.22,0.9925,0.22074093405730388,0.6522502085986904
if,0.22,0.995,0.21179770988200106,0.6522502085986904
if,0.22,0.9975,0.19522342698308365,0.6522502085986904
if,0.22,1.0,0.19522342698308365,0.6522502085986904
